Hybridization REF,BRCA1,BRCA2,TP53,CANCER
TCGA-AO-A0JF-01A-11R-A056-07,-2.07175,-2.2185,-0.1083333333,1
TCGA-E2-A14W-01A-11R-A12D-07,-0.6776666667,-3.31075,-0.8066666667,1
TCGA-BH-A0DT-11A-12R-A12D-07,-2.131916667,-3.803,-0.887666667,0
TCGA-A7-A13F-11A-42R-A12P-07,-2.596333333,-2.8785,-0.4115,0
TCGA-A8-A07S-01A-11R-A034-07,-0.9421666667,-0.863,-0.3773333333,1
TCGA-BH-A18R-11A-42R-A12D-07,-2.02525,-2.58175,-0.855666667,0
TCGA-AO-A0JE-01A-11R-A056-07,-0.9246666667,-0.535,-0.1441666667,1
TCGA-BH-A18P-01A-11R-A12D-07,-1.5235,-1.259,-0.5811666667,1
TCGA-A8-A076-01A-21R-A00Z-07,-1.898416667,-0.748,-0.5108333333,1
TCGA-BH-A0H9-11A-22R-A089-07,-1.72325,-0.39075,-0.414333333,0
TCGA-BH-A0DQ-11A-12R-A089-07,-2.23775,-2.17525,0.009666667,0
TCGA-BH-A0DH-11A-31R-A089-07,-1.969083333,-2.81275,-1.562333333,0
TCGA-BH-A18R-11A-42R-A12D-07,-2.02525,-2.58175,-0.855666667,0
TCGA-AQ-A04L-01B-21R-A10J-07,-1.769583333,-1.98075,-0.6336666667,1
TCGA-E2-A15M-11A-22R-A12D-07,-1.795083333,-1.98375,-0.050833333,0
TCGA-BH-A0B0-01A-21R-A115-07,-2.551083333,-1.468,0.808,1
TCGA-BH-A0H9-11A-22R-A089-07,-1.72325,-0.39075,-0.414333333,0
TCGA-B6-A0WY-01A-11R-A109-07,-1.5505,-0.8585,0.03566666667,1
TCGA-BH-A18J-01A-11R-A12D-07,-1.63075,-0.565,-0.1626666667,1
TCGA-BH-A0H5-11A-62R-A115-07,-2.185916667,-2.4985,-0.245333333,0
TCGA-A2-A0SW-01A-11R-A084-07,-1.669833333,-1.00625,-0.567,1
TCGA-BH-A1EO-11A-31R-A137-07,-1.994416667,-2.82425,-0.866166667,0
TCGA-AR-A0TY-01A-12R-A115-07,-1.504916667,0.427,0.2143333333,1
TCGA-BH-A0DO-11A-22R-A12D-07,-2.243083333,-2.66075,0.369333333,0
TCGA-A7-A0CH-01A-21R-A00Z-07,-1.514666667,-1.965,0.07533333333,1
TCGA-AN-A0AT-01A-11R-A034-07,-3.0265,1.74175,-2.418166667,1
TCGA-A8-A094-01A-11R-A00Z-07,-1.786166667,-0.0405,-1.739833333,1
TCGA-C8-A12M-01A-11R-A115-07,-2.00575,-1.74875,1.126166667,1
TCGA-BH-A1EU-11A-23R-A137-07,-2.476083333,-3.692,-0.347,0
TCGA-BH-A0DH-11A-31R-A089-07,-1.969083333,-2.81275,-1.562333333,0
TCGA-AO-A12E-01A-11R-A10J-07,-0.62,-0.726,-0.5393333333,1
TCGA-E2-A150-01A-11R-A12D-07,-1.44975,-1.16125,-1.6245,1
TCGA-E2-A15M-11A-22R-A12D-07,-1.795083333,-1.98375,-0.050833333,0
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-0.088666667,0
TCGA-A2-A0EQ-01A-11R-A034-07,-0.87825,0.29075,0.1613333333,1
TCGA-AO-A0J7-01A-11R-A034-07,-0.4470833333,-0.36875,0.3025,1
TCGA-A8-A08P-01A-11R-A00Z-07,-0.9535833333,-0.98525,-1.433833333,1
TCGA-A7-A0CE-11A-21R-A089-07,-2.149,-1.93275,-0.974666667,0
TCGA-BH-A18J-11A-31R-A12D-07,-2.219166667,-2.66625,-1.376166667,0
TCGA-BH-A18R-11A-42R-A12D-07,-2.02525,-2.58175,-0.855666667,0
TCGA-E2-A15S-01A-11R-A115-07,-0.8308333333,-1.17775,-0.463,1
TCGA-A8-A0AB-01A-11R-A034-07,-0.5295833333,-1.47725,-0.3126666667,1
TCGA-AN-A0AM-01A-11R-A034-07,-1.418916667,0.0425,-0.5353333333,1
TCGA-A8-A06N-01A-12R-A056-07,-1.10125,-1.229,-0.9928333333,1
TCGA-BH-A0B7-11A-34R-A115-07,-2.439083333,-2.6525,0.4265,0
TCGA-BH-A0DO-11A-22R-A12D-07,-2.243083333,-2.66075,0.369333333,0
TCGA-BH-A0H7-11A-13R-A089-07,-2.022166667,-1.6555,-0.446833333,0
TCGA-BH-A18N-11A-43R-A12D-07,-2.244583333,-2.40275,-1.431333333,0
TCGA-AO-A03M-01B-11R-A10J-07,-1.527666667,-0.4615,-1.3695,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-0.088666667,0
TCGA-BH-A0B8-11A-41R-A089-07,-2.463083333,-3.7165,-0.742666667,0
TCGA-AO-A0JJ-01A-11R-A056-07,-0.975,-1.235,-0.3288333333,1
TCGA-E2-A153-11A-31R-A12D-07,-0.627,-2.07,-0.289333333,0
TCGA-BH-A0E0-01A-11R-A056-07,-0.9785833333,-2.108,0.3815,1
TCGA-BH-A0DZ-11A-22R-A089-07,-1.776,-1.2245,0.490333333,0
TCGA-A8-A06O-01A-11R-A00Z-07,-0.1266666667,-1.104,-0.4921666667,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-0.088666667,0
TCGA-B6-A0X1-01A-11R-A109-07,-0.3098333333,0.379,-1.989833333,1
TCGA-E2-A10E-01A-21R-A10J-07,-1.17425,-1.28325,0.09283333333,1
TCGA-B6-A0X0-01A-21R-A115-07,-1.400666667,-1.049,1.484833333,1
TCGA-BH-A18S-11A-43R-A12D-07,-2.301166667,-2.33475,-1.161166667,0
TCGA-A2-A0CY-01A-12R-A034-07,-1.94125,-0.9485,0.2508333333,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-0.088666667,0
TCGA-A7-A0CH-11A-32R-A089-07,-2.014666667,-1.56325,-1.242666667,0
TCGA-B6-A0IG-01A-11R-A034-07,0.5180833333,0.641,-0.5126666667,1
TCGA-BH-A0B3-11B-21R-A089-07,-2.307833333,-1.91125,-0.216166667,0
TCGA-E2-A15M-11A-22R-A12D-07,-1.795083333,-1.98375,-0.050833333,0
TCGA-A7-A13F-11A-42R-A12P-07,-2.596333333,-2.8785,-0.4115,0
TCGA-BH-A0BM-11A-12R-A089-07,-1.896166667,-1.93175,-0.159833333,0
TCGA-BH-A0W3-01A-11R-A109-07,-0.4813333333,-0.47575,-0.5306666667,1
TCGA-BH-A0BV-11A-31R-A089-07,-2.180666667,-1.72075,0.145666667,0
TCGA-BH-A0BQ-11A-33R-A115-07,-1.88375,-1.29425,0.3355,0
TCGA-AR-A1AV-01A-21R-A12P-07,-1.716833333,-0.92925,0.59,1
TCGA-B6-A0RM-01A-11R-A084-07,-1.1735,-0.35475,0.1688333333,1
TCGA-A2-A0YC-01A-11R-A109-07,-0.966,-0.852,-0.5703333333,1
TCGA-BH-A18P-11A-43R-A12D-07,-2.626166667,-2.62725,-0.844333333,0
TCGA-BH-A0BD-01A-11R-A034-07,-0.9085,0.136,0.1605,1
TCGA-A8-A08T-01A-21R-A00Z-07,-1.917833333,-2.659,0.5411666667,1
TCGA-E2-A10B-01A-11R-A10J-07,-1.406583333,-0.92125,-0.4528333333,1
TCGA-E2-A15I-11A-32R-A137-07,-2.527916667,-3.1455,-0.628666667,0
TCGA-BH-A18M-11A-33R-A12D-07,-2.723363636,-2.3495,-0.640166667,0
TCGA-BH-A0AY-11A-23R-A089-07,-2.202916667,-2.31275,-0.382,0
TCGA-BH-A0BV-11A-31R-A089-07,-2.180666667,-1.72075,0.145666667,0
TCGA-BH-A0DZ-11A-22R-A089-07,-1.776,-1.2245,0.490333333,0
TCGA-A7-A13F-11A-42R-A12P-07,-2.596333333,-2.8785,-0.4115,0
TCGA-BH-A0H5-11A-62R-A115-07,-2.185916667,-2.4985,-0.245333333,0
TCGA-BH-A18G-01A-11R-A12D-07,-1.996833333,-1.2155,-0.2665,1
TCGA-A8-A07C-01A-11R-A034-07,-3.386166667,0.5695,-1.885666667,1
TCGA-BH-A0B7-11A-34R-A115-07,-2.439083333,-2.6525,0.4265,0
TCGA-BH-A1ET-11B-23R-A137-07,-2.880916667,-2.9755,-0.625166667,0
TCGA-BH-A0BR-01A-21R-A115-07,-2.114916667,-1.25525,-0.1353333333,1
TCGA-C8-A12Q-01A-11R-A115-07,-1.7885,-0.1915,-0.1281666667,1
TCGA-BH-A18L-11A-42R-A12D-07,-2.418333333,-3.41125,-1.0265,0
TCGA-C8-A132-01A-31R-A115-07,-1.996333333,-0.66925,-0.3256666667,1
TCGA-E2-A1BC-11A-32R-A12P-07,-2.627166667,-4.04475,-0.747333333,0
TCGA-A7-A0D9-11A-53R-A089-07,-2.223583333,-2.32625,-1.66,0
TCGA-BH-A18V-01A-11R-A12D-07,-0.518,0.47975,-1.542166667,1
TCGA-BH-A18N-11A-43R-A12D-07,-2.244583333,-2.40275,-1.431333333,0
TCGA-A2-A0T3-01A-21R-A115-07,-0.9271666667,-0.6795,-0.7618333333,1
TCGA-AN-A0FD-01A-11R-A034-07,-2.684727273,0.38575,-1.675333333,1
TCGA-BH-A0H7-01A-13R-A056-07,-1.399166667,-1.8065,-0.3851666667,1
TCGA-A2-A04Q-01A-21R-A034-07,-1.300333333,-0.379,-1.181333333,1
TCGA-BH-A1EW-11B-33R-A137-07,-1.965666667,-2.4405,-1.487666667,0
TCGA-D8-A147-01A-11R-A115-07,-0.8086666667,-1.182,0.3315,1
TCGA-A8-A085-01A-11R-A00Z-07,-0.58725,-2.6825,-0.6446666667,1
TCGA-BH-A0H7-11A-13R-A089-07,-2.022166667,-1.6555,-0.446833333,0
TCGA-BH-A18V-11A-52R-A12D-07,-2.429083333,-2.3925,-0.435333333,0
TCGA-BH-A18R-11A-42R-A12D-07,-2.02525,-2.58175,-0.855666667,0
TCGA-BH-A0BF-01A-21R-A12P-07,-2.252333333,-1.172,0.3908333333,1
TCGA-BH-A0DP-11A-12R-A089-07,-2.53875,-2.29925,-0.115833333,0
TCGA-BH-A0H5-11A-62R-A115-07,-2.185916667,-2.4985,-0.245333333,0
TCGA-E2-A15A-06A-11R-A12D-07,-0.7659166667,-1.17175,-0.3146666667,1
TCGA-BH-A0AU-11A-11R-A12P-07,-1.997916667,-3.80275,-0.184666667,0
TCGA-A7-A0CG-01A-12R-A056-07,-2.31375,-2.5625,-0.7355,1
TCGA-AR-A1AQ-01A-11R-A12P-07,-1.286083333,0.52025,-0.444,1
TCGA-AR-A1AL-01A-21R-A12P-07,-2.521083333,-1.88225,-0.2923333333,1
TCGA-A2-A0EV-01A-11R-A034-07,-0.7325,-0.8125,-0.62,1
TCGA-A7-A13E-11A-61R-A12P-07,-2.816583333,-3.3685,0.0395,0
TCGA-E2-A1BD-01A-11R-A12P-07,-1.17275,-0.812,0.289,1
TCGA-BH-A0BS-11A-11R-A12P-07,-2.333272727,-1.778666667,0.029666667,0
TCGA-E2-A158-11A-22R-A12D-07,-2.79625,-2.456,-0.8465,0
TCGA-BH-A18J-11A-31R-A12D-07,-2.219166667,-2.66625,-1.376166667,0
TCGA-BH-A1ET-01A-11R-A137-07,-2.266166667,-1.682,-0.29,1
TCGA-BH-A0EI-01A-11R-A115-07,-2.345916667,-1.185,0.3448333333,1
TCGA-AR-A0TW-01A-11R-A084-07,-1.695166667,-1.5405,-0.5583333333,1
TCGA-BH-A0H3-01A-11R-A12P-07,-1.7705,-0.8905,-0.4736666667,1
TCGA-BH-A18K-11A-13R-A12D-07,-2.428083333,-3.305,0.386333333,0
TCGA-BH-A0AU-11A-11R-A12P-07,-1.997916667,-3.80275,-0.184666667,0
TCGA-BH-A0C0-11A-21R-A089-07,-2.402583333,-2.331,0.135333333,0
TCGA-A2-A0CQ-01A-21R-A034-07,-1.35975,-0.645,-0.4283333333,1
TCGA-BH-A1EW-11B-33R-A137-07,-1.965666667,-2.4405,-1.487666667,0
TCGA-BH-A18V-11A-52R-A12D-07,-2.429083333,-2.3925,-0.435333333,0
TCGA-A7-A0D9-01A-31R-A056-07,-2.104416667,-2.6325,-0.9185,1
TCGA-B6-A0RS-01A-11R-A084-07,-1.9555,0.53775,0.2315,1
TCGA-A2-A04X-01A-21R-A034-07,-1.26825,-0.049,-1.062666667,1
TCGA-A1-A0SM-01A-11R-A084-07,-1.995666667,-1.2315,-0.3845,1
TCGA-BH-A1F0-11B-23R-A137-07,-2.4855,-3.664,-0.4075,0
TCGA-AR-A1AX-01A-11R-A12P-07,-2.184666667,-1.29275,-0.6345,1
TCGA-A8-A08B-01A-11R-A00Z-07,-1.187333333,0.03875,-2.161666667,1
TCGA-BH-A18Q-01A-12R-A12D-07,-1.016583333,-1.366,-2.088666667,1
TCGA-BH-A0BG-01A-11R-A115-07,-1.35375,-0.5525,-1.517666667,1
TCGA-BH-A18N-11A-43R-A12D-07,-2.244583333,-2.40275,-1.431333333,0
TCGA-BH-A0DK-11A-13R-A089-07,-2.22875,-1.57325,-0.125666667,0
TCGA-A2-A0EX-01A-21R-A034-07,-2.121916667,-3.01675,-0.395,1
TCGA-BH-A0HO-01A-11R-A034-07,-1.584416667,-1.01925,-0.5345,1
TCGA-BH-A1EO-11A-31R-A137-07,-1.994416667,-2.82425,-0.866166667,0
TCGA-BH-A0H7-11A-13R-A089-07,-2.022166667,-1.6555,-0.446833333,0
TCGA-A8-A07J-01A-11R-A00Z-07,-1.781416667,-1.71975,0.2001666667,1
TCGA-A2-A0YD-01A-11R-A109-07,-2.073333333,-1.813,-0.06616666667,1
TCGA-BH-A0DL-11A-13R-A115-07,-2.019833333,-1.9985,-0.191333333,0
TCGA-BH-A0W5-01A-11R-A109-07,-1.85675,-0.69725,-0.1851666667,1
TCGA-A2-A0CX-01A-21R-A00Z-07,-1.449916667,-0.02325,-0.3536666667,1
TCGA-A7-A0CH-11A-32R-A089-07,-2.014666667,-1.56325,-1.242666667,0
TCGA-BH-A1F0-11B-23R-A137-07,-2.4855,-3.664,-0.4075,0
TCGA-AN-A0FV-01A-11R-A00Z-07,-1.62425,-0.577,0.1026666667,1
TCGA-A8-A07R-01A-21R-A034-07,-0.8341666667,-2.15475,-0.296,1
TCGA-BH-A0B5-11A-23R-A12P-07,-2.867083333,-3.4205,-0.861166667,0
TCGA-BH-A0GZ-01A-11R-A056-07,-0.8616666667,1.4975,-0.04066666667,1
TCGA-BH-A1EW-11B-33R-A137-07,-1.965666667,-2.4405,-1.487666667,0
TCGA-A2-A0T0-01A-22R-A084-07,-0.90825,-2.34525,0.1645,1
TCGA-A7-A0CD-01A-11R-A00Z-07,-0.7565454545,-1.971,-0.388,1
TCGA-B6-A0I8-01A-11R-A034-07,-1.881083333,-3.43625,-1.0545,1
TCGA-BH-A1ET-11B-23R-A137-07,-2.880916667,-2.9755,-0.625166667,0
TCGA-BH-A0B1-01A-12R-A056-07,-1.356833333,-1.33125,-0.4595,1
TCGA-A2-A0EM-01A-11R-A034-07,-2.120666667,-2.52775,0.1321666667,1
TCGA-BH-A0BZ-11A-61R-A12P-07,-2.6265,-2.9515,-0.639,0
TCGA-BH-A0DZ-11A-22R-A089-07,-1.776,-1.2245,0.490333333,0
TCGA-BH-A0BA-11A-22R-A089-07,-1.53225,-1.4145,-0.6455,0
TCGA-AR-A1AT-01A-11R-A12P-07,-1.08525,-1.5975,-0.0945,1
TCGA-BH-A0DO-11A-22R-A12D-07,-2.243083333,-2.66075,0.369333333,0
TCGA-BH-A18T-01A-11R-A12D-07,-1.20125,-0.654,-0.7743333333,1
TCGA-BH-A0DT-11A-12R-A12D-07,-2.131916667,-3.803,-0.887666667,0
TCGA-BH-A0E1-11A-13R-A089-07,-2.267416667,-1.5365,-0.153666667,0
TCGA-E2-A1BC-11A-32R-A12P-07,-2.627166667,-4.04475,-0.747333333,0
TCGA-BH-A0DD-11A-23R-A12P-07,-2.299,-2.1505,-0.946666667,0
TCGA-BH-A0DQ-11A-12R-A089-07,-2.23775,-2.17525,0.009666667,0
TCGA-AN-A0AJ-01A-11R-A00Z-07,-0.44125,-0.48275,-1.321,1
TCGA-BH-A0BS-01A-11R-A12P-07,-1.825833333,-0.8235,0.4466666667,1
TCGA-BH-A0H7-11A-13R-A089-07,-2.022166667,-1.6555,-0.446833333,0
TCGA-A8-A08C-01A-11R-A00Z-07,-2.110083333,-2.105,0.6863333333,1
TCGA-D8-A146-01A-31R-A115-07,-2.449666667,-1.488,0.002666666667,1
TCGA-BH-A18Q-11A-34R-A12D-07,-2.086083333,-3.15925,-0.281666667,0
TCGA-BH-A1F0-01A-11R-A137-07,-0.6543333333,-0.1725,-0.7355,1
TCGA-BH-A0BT-01A-11R-A12P-07,-1.679083333,-2.6045,0.2926666667,1
TCGA-BH-A0BA-11A-22R-A089-07,-1.53225,-1.4145,-0.6455,0
TCGA-A2-A04T-01A-21R-A034-07,-3.272166667,1.37625,0.9891666667,1
TCGA-E2-A15R-01A-11R-A115-07,-0.7145,-0.26475,-0.3495,1
TCGA-BH-A0BS-11A-11R-A12P-07,-2.333272727,-1.778666667,0.029666667,0
TCGA-BH-A0BW-11A-12R-A115-07,-1.479583333,-1.426,0.162666667,0
TCGA-BH-A0C3-01A-21R-A12P-07,-1.63975,-1.6065,-0.978,1
TCGA-A8-A07I-01A-11R-A00Z-07,-1.74475,-0.60725,-0.5405,1
TCGA-BH-A0BW-11A-12R-A115-07,-1.479583333,-1.426,0.162666667,0
TCGA-A2-A0D1-01A-11R-A034-07,-1.661416667,-0.8145,-1.890666667,1
TCGA-BH-A0W7-01A-11R-A115-07,-2.089166667,0.45025,-0.2836666667,1
TCGA-AN-A0XR-01A-11R-A109-07,-1.1525,-0.15875,-0.514,1
TCGA-A8-A09I-01A-22R-A034-07,-1.28925,0.4475,-0.134,1
TCGA-BH-A0HK-01A-11R-A056-07,-2.006083333,-1.6755,-0.5056666667,1
TCGA-BH-A0E0-11A-13R-A089-07,-2.23025,-1.74925,-0.659666667,0
TCGA-BH-A0BW-11A-12R-A115-07,-1.479583333,-1.426,0.162666667,0
TCGA-A2-A04P-01A-31R-A034-07,-3.127,1.54975,-1.8085,1
TCGA-BH-A0DH-11A-31R-A089-07,-1.969083333,-2.81275,-1.562333333,0
TCGA-BH-A0DQ-01A-11R-A084-07,-1.356833333,-0.40675,-0.1958333333,1
TCGA-BH-A0BC-11A-22R-A089-07,-1.792583333,-1.64825,-2.3795,0
TCGA-E2-A152-01A-11R-A12D-07,-1.864583333,-2.44925,-0.9186666667,1
TCGA-BH-A1EU-11A-23R-A137-07,-2.476083333,-3.692,-0.347,0
TCGA-A2-A0YE-01A-11R-A109-07,-0.9450833333,0.23975,-2.374333333,1
TCGA-E2-A1BC-11A-32R-A12P-07,-2.627166667,-4.04475,-0.747333333,0
TCGA-BH-A1EU-11A-23R-A137-07,-2.476083333,-3.692,-0.347,0
TCGA-BH-A0BQ-11A-33R-A115-07,-1.88375,-1.29425,0.3355,0
TCGA-BH-A1EW-01A-11R-A137-07,-1.175166667,-0.86775,-0.1781666667,1
TCGA-E2-A15I-11A-32R-A137-07,-2.527916667,-3.1455,-0.628666667,0
TCGA-BH-A0E1-11A-13R-A089-07,-2.267416667,-1.5365,-0.153666667,0
TCGA-E2-A14X-01A-11R-A115-07,-1.685416667,-0.577,-1.289833333,1
TCGA-B6-A0RT-01A-21R-A084-07,-2.50425,-0.30075,0.524,1
TCGA-BH-A0AY-11A-23R-A089-07,-2.202916667,-2.31275,-0.382,0
TCGA-BH-A0DQ-11A-12R-A089-07,-2.23775,-2.17525,0.009666667,0
TCGA-BH-A0DL-11A-13R-A115-07,-2.019833333,-1.9985,-0.191333333,0
TCGA-A8-A09K-01A-11R-A00Z-07,-1.891333333,-0.9495,-0.5248333333,1
TCGA-BH-A0C3-11A-23R-A12P-07,-2.662166667,-2.58125,0.096166667,0
TCGA-A8-A084-01A-21R-A00Z-07,-1.346666667,0.43525,-1.680666667,1
TCGA-BH-A0DV-11A-22R-A12P-07,-2.410333333,-2.1645,0.885833333,0
TCGA-E2-A154-01A-11R-A115-07,-0.7824166667,0.07475,1.2015,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-0.088666667,0
TCGA-B6-A0WW-01A-11R-A109-07,-1.111666667,-1.65475,-0.4028333333,1
TCGA-BH-A0B5-11A-23R-A12P-07,-2.867083333,-3.4205,-0.861166667,0
TCGA-A7-A0CH-11A-32R-A089-07,-2.014666667,-1.56325,-1.242666667,0
TCGA-B6-A0I5-01A-11R-A034-07,-1.134583333,-0.38025,-0.9748333333,1
TCGA-A2-A0YK-01A-22R-A109-07,-2.109166667,-1.0495,-0.1096666667,1
TCGA-BH-A18U-11A-23R-A12D-07,-2.443833333,-2.623,-0.3935,0
TCGA-A7-A13E-11A-61R-A12P-07,-2.816583333,-3.3685,0.0395,0
TCGA-BH-A0B4-01A-11R-A00Z-07,-0.423,-1.732,-0.5598333333,1
TCGA-BH-A0DD-11A-23R-A12P-07,-2.299,-2.1505,-0.946666667,0
TCGA-BH-A18L-11A-42R-A12D-07,-2.418333333,-3.41125,-1.0265,0
TCGA-BH-A0DS-01A-11R-A056-07,-1.56625,-0.20875,-0.2856666667,1
TCGA-BH-A0BA-11A-22R-A089-07,-1.53225,-1.4145,-0.6455,0
TCGA-AO-A12H-01A-11R-A115-07,-2.121416667,-0.91675,-0.433,1
TCGA-AR-A0TU-01A-31R-A109-07,-2.83625,0.78525,0.4523333333,1
TCGA-BH-A0DZ-11A-22R-A089-07,-1.776,-1.2245,0.490333333,0
TCGA-BH-A1ET-11B-23R-A137-07,-2.880916667,-2.9755,-0.625166667,0
TCGA-BH-A18V-11A-52R-A12D-07,-2.429083333,-2.3925,-0.435333333,0
TCGA-BH-A18Q-11A-34R-A12D-07,-2.086083333,-3.15925,-0.281666667,0
TCGA-BH-A0BJ-11A-23R-A089-07,-2.158083333,-2.2335,0.493333333,0
TCGA-BH-A0DZ-11A-22R-A089-07,-1.776,-1.2245,0.490333333,0
TCGA-A2-A0ER-01A-21R-A034-07,-1.546818182,-0.18975,-0.626,1
TCGA-A2-A0CP-01A-11R-A034-07,-2.627636364,-1.65375,-0.6621666667,1
TCGA-AO-A03U-01B-21R-A10J-07,-1.813583333,-1.497,-0.5405,1
TCGA-BH-A18J-11A-31R-A12D-07,-2.219166667,-2.66625,-1.376166667,0
TCGA-C8-A137-01A-11R-A115-07,-1.846583333,0.0635,0.575,1
TCGA-E2-A10C-01A-21R-A10J-07,-0.742,-0.1635,-1.053166667,1
TCGA-BH-A0B3-11B-21R-A089-07,-2.307833333,-1.91125,-0.216166667,0
TCGA-AO-A12D-01A-11R-A115-07,-1.565833333,-1.0695,-1.375666667,1
TCGA-BH-A1EW-11B-33R-A137-07,-1.965666667,-2.4405,-1.487666667,0
TCGA-BH-A0HW-01A-11R-A034-07,-0.47825,-0.293,-1.007166667,1
TCGA-BH-A1EO-11A-31R-A137-07,-1.994416667,-2.82425,-0.866166667,0
TCGA-BH-A0B8-11A-41R-A089-07,-2.463083333,-3.7165,-0.742666667,0
TCGA-AO-A0J9-01A-11R-A034-07,-1.074083333,0.025,-1.598333333,1
TCGA-A7-A13E-11A-61R-A12P-07,-2.816583333,-3.3685,0.0395,0
TCGA-A2-A0T6-01A-11R-A084-07,-2.039916667,-2.32425,-0.4226666667,1
TCGA-E2-A15E-06A-11R-A12D-07,-1.898416667,-2.228,0.1473333333,1
TCGA-BH-A0DP-11A-12R-A089-07,-2.53875,-2.29925,-0.115833333,0
TCGA-AN-A046-01A-21R-A034-07,-1.839083333,-1.1285,-0.07333333333,1
TCGA-BH-A18S-11A-43R-A12D-07,-2.301166667,-2.33475,-1.161166667,0
TCGA-A2-A04V-01A-21R-A034-07,-1.825666667,-0.71625,-0.4085,1
TCGA-E2-A156-01A-11R-A12D-07,-1.38325,-1.24525,0.0625,1
TCGA-BH-A18I-01A-11R-A12D-07,-1.605916667,-0.7305,-0.0475,1
TCGA-E2-A107-01A-11R-A10J-07,0.01691666667,0.031,0.2083333333,1
TCGA-BH-A0AU-11A-11R-A12P-07,-1.997916667,-3.80275,-0.184666667,0
TCGA-C8-A1HL-01A-11R-A137-07,-1.016666667,-0.177,0.1083333333,1
